2020/10/22 15:39:03 Simple-HTTP v0.5.0 started to serve '.' folder on port: 8082
2020/10/22 15:39:06 Elapsed time 61.882µs 	     GET 	 /Emacs/Org-Mode/Visibility.html
2020/10/22 15:39:07 Elapsed time 22.685µs 	     GET 	 /Emacs/Org-Mode/Visibility.html
2020/10/22 15:39:07 Elapsed time 88.572µs 	     GET 	 /favicon.ico
2020/10/22 15:39:09 Elapsed time 433.079µs 	     GET 	 /
2020/10/22 15:39:15 Simple-HTTP v0.5.0 started to serve '.' folder on port: 8082
2020/10/22 15:39:30 Simple-HTTP v0.5.0 started to serve 'public/' folder on port: 8082
2020/10/22 15:39:32 Elapsed time 8.796897ms 	     GET 	 /
2020/10/22 15:39:32 Elapsed time 141.467µs 	     GET 	 /style.css
2020/10/22 15:39:34 Elapsed time 260.992µs 	     GET 	 /Emacs/Org-Mode/Visibility.html
2020/10/22 15:39:34 Elapsed time 27.045µs 	     GET 	 /style.css
2020/10/22 15:40:50 Elapsed time 33.67µs 	     GET 	 /Emacs/Org-Mode/Visibility.html
2020/10/22 15:40:51 Elapsed time 30.011µs 	     GET 	 /Emacs/Org-Mode/Visibility.html
2020/10/22 15:40:54 Elapsed time 264.631µs 	     GET 	 /
2020/10/22 15:40:54 Elapsed time 54.056µs 	     GET 	 /style.css
2020/10/22 15:40:57 Elapsed time 117.967µs 	     GET 	 /
2020/10/22 15:40:57 Elapsed time 43.614µs 	     GET 	 /style.css
2020/10/22 15:40:59 Elapsed time 38.785µs 	     GET 	 /Emacs/Org-Mode/Visibility.html
2020/10/22 15:41:00 Elapsed time 31.557µs 	     GET 	 /Emacs/Org-Mode/Visibility.html
2020/10/22 15:41:00 Elapsed time 27.456µs 	     GET 	 /Emacs/Org-Mode/Visibility.html
2020/10/22 15:41:02 Elapsed time 0066µs 	     GET 	 /Emacs
2020/10/22 15:41:02 Elapsed time 334.922µs 	     GET 	 /Emacs/
2020/10/22 15:41:04 Elapsed time 258.045µs 	     GET 	 /Emacs/Org-Mode/
2020/10/22 15:41:05 Elapsed time 50.277094ms 	     GET 	 /Emacs/Org-Mode/Visibility.org
2020/10/22 15:41:08 Elapsed time 88.428µs 	     GET 	 /Emacs/Org-Mode/
2020/10/22 15:41:09 Elapsed time 240.028µs 	     GET 	 /Emacs/Org-Mode/
2020/10/22 15:41:09 Elapsed time 93.672µs 	     GET 	 /Emacs/Org-Mode/
2020/10/22 15:41:10 Elapsed time 89.656µs 	     GET 	 /Emacs/Org-Mode/
2020/10/22 15:41:10 Elapsed time 104.508µs 	     GET 	 /Emacs/Org-Mode/
2020/10/22 15:41:13 Elapsed time 97.24µs 	     GET 	 /Emacs/Org-Mode/
2020/10/22 15:41:14 Elapsed time 90.623µs 	     GET 	 /Emacs/Org-Mode/
2020/10/22 15:41:14 Elapsed time 85.633µs 	     GET 	 /Emacs/Org-Mode/
2020/10/22 15:41:14 Elapsed time 86.709µs 	     GET 	 /Emacs/Org-Mode/
2020/10/22 15:41:19 Elapsed time 40.875µs 	     GET 	 /Emacs/Org-Mode/Visibility.html
2020/10/22 15:41:20 Elapsed time 102.024µs 	     GET 	 /Emacs/Org-Mode/Visibility.html
2020/10/22 15:44:35 Elapsed time 439.684µs 	     GET 	 /Emacs/Org-Mode/Visibility.html
2020/10/22 15:44:35 Elapsed time 46.495µs 	     GET 	 /style.css
2020/10/22 15:44:36 Elapsed time 84.429µs 	     GET 	 /Emacs/Org-Mode/Visibility.html
2020/10/22 15:44:36 Elapsed time 26.661µs 	     GET 	 /style.css
2020/10/22 15:44:36 Elapsed time 114.552µs 	     GET 	 /Emacs/Org-Mode/Visibility.html
2020/10/22 15:44:36 Elapsed time 69.351µs 	     GET 	 /style.css
2020/10/22 15:48:11 Elapsed time 725.504µs 	     GET 	 /Emacs/Org-Mode/Visibility.html
2020/10/22 15:48:11 Elapsed time 51.824µs 	     GET 	 /style.css
2020/10/22 15:48:12 Elapsed time 50.564µs 	     GET 	 /favicon.ico
2020/10/22 15:50:13 Elapsed time 138.818314ms 	     GET 	 /
2020/10/22 15:50:13 Elapsed time 47.178µs 	     GET 	 /style.css
2020/10/22 15:50:13 Elapsed time 52.933µs 	     GET 	 /favicon.ico
2020/10/22 15:50:15 Elapsed time 5.069697ms 	     GET 	 /
2020/10/22 15:50:15 Elapsed time 26.841µs 	     GET 	 /style.css
2020/10/22 15:50:16 Elapsed time 35.822µs 	     GET 	 /favicon.ico
2020/10/22 15:50:16 Elapsed time 129.723723ms 	     GET 	 /
2020/10/22 15:50:16 Elapsed time 341.272µs 	     GET 	 /style.css
2020/10/22 15:50:17 Elapsed time 27.314µs 	     GET 	 /favicon.ico
2020/10/22 15:50:17 Elapsed time 1.407133ms 	     GET 	 /
2020/10/22 15:50:17 Elapsed time 49.3µs 	     GET 	 /style.css
2020/10/22 15:50:17 Elapsed time 60.163µs 	     GET 	 /favicon.ico
2020/10/22 15:50:17 Elapsed time 224.697µs 	     GET 	 /
2020/10/22 15:50:18 Elapsed time 216.246µs 	     GET 	 /
2020/10/22 15:50:18 Elapsed time 2.024182ms 	     GET 	 /
2020/10/22 15:50:18 Elapsed time 29.641µs 	     GET 	 /style.css
2020/10/22 15:50:18 Elapsed time 489.947µs 	     GET 	 /
2020/10/22 15:50:18 Elapsed time 260.067µs 	     GET 	 /
2020/10/22 15:50:18 Elapsed time 46.937738ms 	     GET 	 /
2020/10/22 15:50:19 Elapsed time 1.069077ms 	     GET 	 /
2020/10/22 15:50:19 Elapsed time 36.017µs 	     GET 	 /style.css
2020/10/22 15:50:19 Elapsed time 219.857µs 	     GET 	 /
2020/10/22 15:50:19 Elapsed time 28.945µs 	     GET 	 /style.css
2020/10/22 15:50:19 Elapsed time 57.291µs 	     GET 	 /favicon.ico
2020/10/22 15:55:06 Elapsed time 231.76µs 	     GET 	 /
2020/10/22 15:55:06 Elapsed time 56.895µs 	     GET 	 /style.css
2020/10/22 15:55:06 Elapsed time 119.962µs 	     GET 	 /favicon.ico
2020/10/22 15:55:06 Elapsed time 218.047µs 	     GET 	 /
2020/10/22 15:55:06 Elapsed time 43.091µs 	     GET 	 /style.css
2020/10/22 15:55:06 Elapsed time 1.319602ms 	     GET 	 /favicon.ico
2020/10/22 15:55:07 Elapsed time 153.046µs 	     GET 	 /
2020/10/22 15:55:07 Elapsed time 33.803µs 	     GET 	 /style.css
2020/10/22 15:55:07 Elapsed time 39.309µs 	     GET 	 /favicon.ico
2020/10/22 15:55:10 Elapsed time 6.098082ms 	     GET 	 /
2020/10/22 15:55:10 Elapsed time 40.254µs 	     GET 	 /style.css
2020/10/22 15:55:10 Elapsed time 175.57µs 	     GET 	 /favicon.ico
